token_cap,reserved_slots,refill,proc_delay,repeat,success,failures,processed,tokens_left,max_queue_len,time_ms,elapsed_ms,exit_code,logfile
512,16,4,1,1,528,2672,528,388,496,1023.144,1023.144,0,
512,16,4,2,1,528,2672,528,396,496,1469.899,1469.899,0,
512,16,4,5,1,520,2680,520,392,496,3018.868,3018.868,0,
512,16,8,1,1,528,2672,528,512,496,986.54,986.54,0,
512,16,8,2,1,528,2672,528,512,496,1483.883,1483.883,0,
512,16,8,5,1,528,2672,528,512,496,3050.343,3050.343,0,
512,16,16,1,1,528,2672,528,512,496,987.709,987.709,0,
512,16,16,2,1,528,2672,528,512,496,1455.361,1455.361,0,
512,16,16,5,1,528,2672,528,512,496,3053.211,3053.211,0,
512,32,4,1,1,527,2673,527,396,496,1002.112,1002.112,0,
512,32,4,2,1,527,2673,527,396,496,1452.6,1452.6,0,
512,32,4,5,1,528,2672,528,396,496,3017.418,3017.418,0,
512,32,8,1,1,528,2672,528,512,496,978.861,978.861,0,
512,32,8,2,1,516,2684,516,512,496,1422.822,1422.822,0,
512,32,8,5,1,528,2672,528,512,496,3027.063,3027.063,0,
512,32,16,1,1,528,2672,528,512,496,989.112,989.112,0,
512,32,16,2,1,528,2672,528,512,496,1473.95,1473.95,0,
512,32,16,5,1,520,2680,520,512,496,2982.303,2982.303,0,
512,64,4,1,1,528,2672,528,412,496,973.751,973.751,0,
512,64,4,2,1,528,2672,528,412,496,1463.424,1463.424,0,
